actual_q_0 actual_q_1 actual_q_2 actual_q_3 actual_q_4 actual_q_5 actual_qd_0 actual_qd_1 actual_qd_2 actual_qd_3 actual_qd_4 actual_qd_5 timestamp
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 0.0 0.0 0.0 0.0 0.0 0.0 2278.444
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 0.0 0.0 0.0 0.0 0.0 0.0 2278.494
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 0.0 0.0 0.0 0.0 0.0 0.0 2278.5440000000003
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 0.023855026961953952 -0.012228570222165724 0.01852545001703213 -0.006296880079673455 -5.860726155913123e-09 0.023855026931807584 2278.5940000000005
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 0.0900454242221021 -0.04615910914881168 0.06992790275816863 -0.02376879468441637 -2.212244713872839e-08 0.09004542410830879 2278.6440000000007
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 0.1908596891870291 -0.0978385442836296 0.14821872295259747 -0.050380180947656755 -4.689059351355471e-08 0.19085968894583358 2278.694000000001
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 0.31905368305686005 -0.16355338328160263 0.24777222292167708 -0.08421884344928154 -7.838541823549437e-08 0.31905368265366163 2278.744000000001
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 0.46785063082526024 -0.23982971394900535 0.36332566257893634 -0.12349595421563654 -1.149419966496431e-07 0.4678506302340223 2278.7940000000012
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 0.6309411212794351 -0.3234332042434036 0.48997924943007437 -0.1665460527195265 -1.5501022649108997e-07 0.6309411204820945 2278.8440000000014
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 0.8024831070001307 -0.4113691022736548 0.6231961385729607 -0.21182704588021495 -1.971548278849174e-07 0.8024831059860069 2278.8940000000016
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 0.9771019043616339 -0.5008822362999081 0.7588024326976361 -0.25792020806342475 -2.400553433462015e-07 0.9771019031268388 2278.944000000002
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 1.1498901935317707 -0.5894570147336031 0.8929871820863104 -0.303530181081337 -2.8250613778001143e-07 1.149890192078617 2278.994000000002
3.71207804710797 -0.8254843255005873 0.8429764792549035 -1.5882884806323445 -1.570796326807946 2.141281720311417 1.316408018471908 -0.6748174261374718 1.022302384613365 -0.3474849741925923 -3.234163984814099e-07 1.3164080168083205 2279.044000000002
3.712302100445105 -0.8255991797814494 0.8431504756584648 -1.5883476227577187 -1.5707963268629916 2.1415057736482686 1.472682786936953 -0.7549270392255368 1.1436629857453509 -0.3887359641022898 -3.6181013513545295e-07 1.4726827850758764 2279.0940000000023
3.7137951763049775 -0.8263645607231098 0.8443099755935445 -1.588741741768964 -1.5707963272298118 2.142998849506254 1.6152092704753542 -0.8279890028631134 1.2543468785409906 -0.42635789496198784 -3.968261798171904e-07 1.6152092684341623 2279.1440000000025
3.717625071132552 -0.8283278424212271 0.8472842134894762 -1.5897526980125036 -1.5707963281707442 2.146828744328989 1.740949604429098 -0.8924460460668061 1.351994903651175 -0.45954887836970326 -4.277181869916645e-07 1.7409496022290039 2279.1940000000027
3.724651864131218 -0.8319299189042199 0.8527411137346294 -1.5916075218585575 -1.5707963298970935 2.153855537318775 1.8473332879337134 -0.9469804780045131 1.4346108493189675 -0.4876303933699122 -4.538546335139122e-07 1.8473332855991786 2279.244000000003
3.7355408995903905 -0.837511859137468 0.8611973725539686 -1.5944818405746537 -1.5707963325723222 2.164744572764187 1.9322571839182703 -0.9905141879954236 1.5005614513796028 -0.5100472864535499 -4.7471881862896305e-07 1.9322571814764145 2279.294000000003
